age,gender,geography,tenure_years,num_products,has_credit_card,is_active_member,credit_score,account_balance,estimated_salary,num_transactions_6m,avg_transaction_amount,num_complaints,last_interaction_days_ago,mobile_app_logins_monthly,net_banking_active,branch_visits_year,has_loan,loan_default_history,emi_to_income_ratio,balance_salary_ratio,products_per_tenure,digital_engagement_score,customer_value,revenue_at_risk,age_tenure_ratio,zero_balance_flag,single_product_flag,credit_engagement_mismatch,complaint_risk_score,low_digital_activity,financial_stress_flag,wealth_tier,age_group,churn_risk_score,priority_score,high_value_customer,high_churn_risk
-0.053276625,-0.01863949,0.022738675,0.029040452,-0.25115007,1.0688078,1.6531395,-0.23057245,0.070420004,0.0054200925,-0.2940403,-0.24371934,0.33218277,-0.17555463,0.03684836,0.0027933193,0.043099444,1.2026548,1.2037666,-0.037516706,0.0943097,0.09368178,-0.45264205,0.022368116,-0.13368881,-0.085603215,0.0,0.25206932,0.009434316,0.5395251,0.001905496,0.019210426,-0.016760923,-0.12110052,0.1987562,0.07038869,0.0,0.023019109
0.03758482,-0.06536942,-0.071997434,-0.06471274,1.4765531,-0.01342807,-0.41423494,-0.25050324,0.08183523,0.15528488,-0.33734736,-0.22303185,0.42378983,-0.24781154,0.023371922,0.03298847,0.105367735,1.3766713,1.226633,-0.04365724,0.160039,-0.12087654,-0.2910431,0.028486153,-0.112973616,-0.3212258,0.0,0.3432601,0.0067498656,0.5402845,0.0029118415,0.021505123,-0.0050092475,0.09460125,0.17139196,0.09146887,0.0,0.023911042
-0.14124995,-0.047046497,-0.06377873,0.06804472,-0.18004309,-0.025581984,-0.31133053,-0.22392586,0.18314514,0.14004685,-0.3433681,-0.19538353,0.49701542,-0.19717878,0.15102422,0.66918397,-0.021693226,1.3719985,1.1192427,0.0055087674,0.11494814,0.12407363,-0.38040704,-0.030736148,-0.03502556,-0.010029359,0.0,0.18114936,0.007138008,0.594227,0.0034719591,0.024990425,0.03238663,0.049552318,0.29331318,0.102936745,0.0,0.0010444367
-0.00065483525,-0.048267957,0.026122171,0.03383392,1.5092132,-0.017022265,-0.37005457,-0.23381545,0.12614518,0.043519042,-0.3480723,-0.19030315,0.47728068,-0.20379862,0.07084186,0.005718177,0.0845602,1.4342409,1.385289,-0.030025462,0.14099495,0.06805206,-0.37947622,0.05608698,-0.12518646,-0.009388555,0.0,0.35455227,0.008759582,0.6051559,0.0024218739,0.024804892,-0.0007334651,-0.17158854,0.20092197,0.06288387,0.0,0.023019109
-0.07235904,-0.020236086,-0.09637207,0.031470846,-0.17625867,1.055351,1.5688612,-0.15393317,0.014569865,0.015820792,-0.22350591,-0.24078812,0.28010258,-0.27725634,-0.08048284,0.6540993,-0.036335986,1.1609503,1.0217626,-0.054324258,0.079984955,0.116049625,0.08845873,-0.00945013,-0.07815109,0.028860373,0.0,0.24234483,0.0095707085,0.50930345,0.0020231798,0.020536846,-0.053734258,-0.13389765,0.17315443,0.106347844,0.0,0.023137556
-0.02964253,-0.10171139,-0.060339812,0.05924316,-0.14674708,-0.03571891,-0.32045496,0.13967842,0.2085732,0.066867344,-0.32315505,-0.10859458,0.48243028,-0.097630836,0.15949889,0.6678627,0.039532572,1.4106829,1.2903742,-0.07313649,0.09292806,0.12314223,-0.3160121,-0.007503265,0.043850873,-0.095803365,0.0,0.19173072,0.0059642126,0.600105,0.0034701845,0.022493048,-0.038395055,-0.1174608,0.31678873,0.11134404,0.0,0.001021386
-0.10945627,-0.027846418,0.027835507,0.052882545,1.4003648,1.0610387,-0.38403037,-0.25876516,0.11691206,0.058537714,-0.36984226,-0.2652018,0.45710638,-0.24254552,0.016703185,0.0056144814,0.09649877,1.3928968,1.2276367,-0.043269902,0.10862632,0.060028862,-0.41741642,0.023837412,-0.098536044,-0.0031283966,0.0,0.34008613,0.0082766,0.5646018,0.0023994944,0.02523419,-0.016624182,0.06867139,0.25966543,0.032544114,0.0,0.023032486
-0.08418742,-0.049833834,-0.04393314,0.061459217,-0.20294113,-0.020594317,-0.28750658,-0.24656695,0.19686346,0.09061583,-0.34850115,-0.20364675,0.48765483,-0.2567018,0.0961678,0.0029425565,0.046317104,1.4201857,1.2309394,-0.05523289,0.12630622,0.046456397,-0.3522568,-0.022266025,-0.0472591,-0.050950937,0.0,0.18465221,0.0072693615,0.6242145,0.0030411896,0.025073867,-0.043836117,0.058988232,0.29486665,0.11628121,0.0,0.001034764
0.011584482,-0.06688288,-0.03805021,0.08235909,1.478892,-0.016695578,-0.35208198,-0.2161826,0.11966317,0.097387984,-0.29414555,-0.16348806,0.4755084,-0.2687315,0.09643803,0.011520543,0.009636624,1.4077562,1.36191,-0.03787752,0.2103674,0.073690385,-0.34277594,0.050121836,-0.06571474,-0.03408885,0.0,0.35452417,0.008997481,0.58929056,0.0022981253,0.025816891,0.008822321,-0.16060968,0.20472904,0.04691888,0.0,0.023119224
-0.1020075,-0.06943327,-0.07102749,0.10254499,1.4650631,-0.017797945,-0.32871452,-0.2339979,0.1504778,0.095529616,-0.3525308,-0.24644594,0.45682773,-0.29569387,0.12784302,0.011971479,-0.008639915,1.3942788,1.2087902,-0.04586824,0.04620877,0.089337,-0.2870646,0.057063185,-0.09578753,0.04210572,0.0,0.34469944,0.009132159,0.58169293,0.0024634833,0.026152493,0.0077161677,0.06495087,0.24400496,0.062046703,0.0,0.023132602
